ward,target
21001001: Ward 1,20.428241177760267
21001002: Ward 2,13.956471142535925
21001003: Ward 3,21.480303328925203
21001004: Ward 4,18.825635250396378
21001005: Ward 5,21.990623502803206
21001006: Ward 6,24.024299256750115
21001007: Ward 7,14.612783392240562
21002001: Ward 1,18.59956645424474
21002002: Ward 2,17.26585220252302
21002003: Ward 3,21.798571550481235
21002004: Ward 4,22.948562747507538
21002005: Ward 5,17.813633542641657
21002006: Ward 6,19.830037533537265
21004001: Ward 1,15.41533006416633
21004002: Ward 2,21.945590407686737
21004003: Ward 3,15.799403109664325
21004004: Ward 4,13.100198369062241
21004005: Ward 5,22.93459382817338
21004006: Ward 6,17.436867491020305
21004007: Ward 7,21.268257326379327
21004008: Ward 8,16.158729501082934
21004009: Ward 9,21.013954908742363
21004010: Ward 10,17.90224103755009
21004011: Ward 11,21.872748699223386
21004012: Ward 12,14.843875927683833
21004013: Ward 13,19.8261501181327
21004014: Ward 14,18.910975016325665
21005001: Ward 1,24.69081929555233
21005002: Ward 2,14.648059856720028
21005003: Ward 3,17.936818912447286
21005004: Ward 4,17.597292463154158
21005005: Ward 5,20.600039184127162
21005006: Ward 6,15.179392842691634
21005007: Ward 7,22.05026517298528
21005008: Ward 8,20.75698579018443
21005009: Ward 9,20.14958377664495
21005010: Ward 10,4.7042274373742705
21006001: Ward 1,20.646928306653813
21006002: Ward 2,18.775122365291516
21006003: Ward 3,16.25781849054712
21006004: Ward 4,22.544804063032117
21006005: Ward 5,21.145407777019606
21006006: Ward 6,17.2517919679182
21006007: Ward 7,14.878882215499434
21006008: Ward 8,21.202391225045613
21008001: Ward 1,13.361654330817448
21008002: Ward 2,14.049681452057502
21008003: Ward 3,0.34883702826870566
21008004: Ward 4,16.04971162394209
21008005: Ward 5,14.824963752455481
21008006: Ward 6,19.919943403808762
21008007: Ward 7,12.647980857718945
21008008: Ward 8,3.0499092100278844
21008009: Ward 9,17.480867517555307
21008010: Ward 10,18.99936489332944
21008011: Ward 11,3.37696950656641
21008012: Ward 12,9.056931983514422
21008013: Ward 13,16.47806729243607
21008014: Ward 14,11.683922811254948
21008015: Ward 15,16.413828064694812
21009001: Ward 1,17.68846933104205
21009002: Ward 2,11.976993504060445
21009003: Ward 3,17.71892721707173
21009004: Ward 4,15.175834991474826
21009005: Ward 5,16.904525898754923
21009006: Ward 6,14.352428878142565
21201001: Ward 1,24.374332275166875
21201002: Ward 2,32.31759852415775
21201003: Ward 3,38.73017406982159
21201004: Ward 4,36.952574960758206
21201005: Ward 5,36.703063188453534
21201006: Ward 6,38.33823287782155
21201007: Ward 7,40.840709046933654
21201008: Ward 8,41.17408562506426
21201009: Ward 9,29.327462326695777
21201010: Ward 10,35.09905585822876
21201011: Ward 11,36.874148036991194
21201012: Ward 12,38.744831796536054
21201013: Ward 13,30.574340104641006
21201014: Ward 14,41.21567045215745
21201015: Ward 15,38.58467078744224
21201016: Ward 16,39.66108450971021
21201017: Ward 17,40.60926870819626
21201018: Ward 18,41.55852603376624
21201019: Ward 19,37.21715540703932
21201020: Ward 20,38.59187832617824
21201021: Ward 21,33.759446550671335
21201022: Ward 22,36.59808879423536
21201023: Ward 23,37.059604769549736
21201024: Ward 24,34.9573940285715
21201025: Ward 25,28.152812837684326
21201026: Ward 26,38.37215429380936
21201027: Ward 27,33.92055949795199
21201028: Ward 28,36.10975357853632
21201029: Ward 29,37.01910406767364
21201030: Ward 30,34.30155758024926
21201031: Ward 31,39.80757507996025
21202001: Ward 1,17.988059522253437
21202002: Ward 2,20.260976570427374
21202003: Ward 3,25.00961102237335
21202004: Ward 4,21.568194430942338
21202005: Ward 5,24.20084734401554
21202006: Ward 6,30.984437572606094
21202007: Ward 7,31.62706638383037
21202008: Ward 8,34.103431269625375
21202009: Ward 9,31.682294477837413
21202010: Ward 10,36.80409282777422
21202011: Ward 11,36.89272148330942
21202012: Ward 12,33.836383800355826
21202013: Ward 13,30.998367901443864
21202014: Ward 14,31.1558179884996
21202015: Ward 15,34.029502042724616
21202016: Ward 16,32.350147620903954
21202017: Ward 17,35.634002075840726
21202018: Ward 18,30.883339286685842
21202019: Ward 19,35.852417658611245
21202020: Ward 20,34.33741471260679
21202021: Ward 21,31.024048454084966
21202022: Ward 22,36.04448717168035
21202023: Ward 23,36.24049222246113
21202024: Ward 24,38.303113028570145
21202025: Ward 25,37.92007598328934
21202026: Ward 26,37.64721505652748
21202027: Ward 27,37.04716550167834
21202028: Ward 28,35.01402430905922
21202029: Ward 29,37.766416208134665
21202030: Ward 30,33.66976253270603
21202031: Ward 31,33.779390664036214
21203001: Ward 1,19.1714212832701
21203002: Ward 2,33.62167540294325
21203003: Ward 3,32.17373422882241
21203004: Ward 4,31.704550197807002
21203005: Ward 5,24.6476003603903
21203006: Ward 6,18.047273691363674
21203007: Ward 7,21.66650937370828
21204001: Ward 1,31.672314788157475
21204002: Ward 2,27.60653642324432
21204003: Ward 3,33.706109223417315
21204004: Ward 4,23.3515377481415
21204005: Ward 5,28.938019130807973
21204006: Ward 6,24.742800360832632
21204007: Ward 7,32.305199516140895
21204008: Ward 8,32.142019326950866
21204009: Ward 9,27.977946671950715
21204010: Ward 10,27.08598583155004
21204011: Ward 11,32.399928994647915
21204012: Ward 12,34.48330329128477
21204013: Ward 13,30.183416193656218
21204014: Ward 14,29.858211270251115
21204015: Ward 15,28.11042517871659
21206001: Ward 1,31.91120150002077
21206002: Ward 2,28.06682315884795
21206003: Ward 3,29.302015611058994
21206004: Ward 4,30.907844636815902
21206005: Ward 5,32.38568759075795
21206006: Ward 6,27.627964128286827
21206007: Ward 7,23.849198634594547
21206008: Ward 8,28.316868420121697
21206009: Ward 9,29.372595714664225
21206010: Ward 10,21.90980945965725
21206011: Ward 11,26.94982378197053
21206012: Ward 12,28.862667799076537
21301001: Ward 1,25.16257736474927
21301002: Ward 2,22.40652202624396
21301003: Ward 3,23.272740131982058
21301004: Ward 4,21.01683078215738
21301005: Ward 5,7.561156360863061
21301006: Ward 6,20.216973422074524
21301007: Ward 7,23.168605241487388
21301008: Ward 8,18.142793368734424
21301009: Ward 9,20.072605796551052
21305001: Ward 1,37.02483294881706
21305002: Ward 2,34.26897563760327
21305003: Ward 3,32.5969778183699
21305004: Ward 4,32.65286309903037
21305005: Ward 5,39.138494979604
21305006: Ward 6,33.56578804239319
21305007: Ward 7,37.923422374509435
21305008: Ward 8,29.93381628681465
21305009: Ward 9,35.79109390363861
21305010: Ward 10,31.56780935589263
21305011: Ward 11,37.88524862624857
21305012: Ward 12,35.9860117809387
21305013: Ward 13,37.018298528140086
21305014: Ward 14,22.092127334439184
21305015: Ward 15,32.77486564796795
21305016: Ward 16,39.7576370258149
21305017: Ward 17,34.162766264653776
21305018: Ward 18,36.326345455720904
21305019: Ward 19,36.26789606045264
21305020: Ward 20,37.340685467305626
21305021: Ward 21,38.45361501622837
21306001: Ward 1,33.43714796129742
21306002: Ward 2,34.2491092527397
21306003: Ward 3,34.01773709117338
